date,team1,score1,team2,score2,forfeit,overtime
2026-08-29,Seymour,2,Lutie,0,False,False
2026-08-29,Winona,2,Marionville,0,False,False
2026-08-29,Miller,2,Marionville,0,False,False
2026-08-29,Sarcoxie,2,Marionville,0,False,False
2026-08-29,Capital City,0,Marshfield,3,False,False
2026-08-29,Hannibal,2,Maryville,0,False,False
2026-08-29,St. Joseph Christian,2,Maysville,0,False,False
2026-08-29,West Nodaway with Nodaway-Holt,2,Maysville,0,False,False
2026-08-29,South Holt with Craig,2,Maysville,0,False,False
2026-08-29,University City,2,McCluer,0,False,False
2026-08-29,Neosho,2,McDonald County,0,False,False
2026-08-29,Rock Bridge,1,MICDS,2,False,False
2026-08-29,Penney,0,Mid-Buchanan,2,False,False
2026-08-29,Plattsburg,0,Mid-Buchanan,2,False,False
2026-08-29,West Platte,0,Mid-Buchanan,2,False,False
2026-08-29,Winona,2,Miller,0,False,False
2026-08-29,Sarcoxie,0,Monett,2,False,False
2026-08-29,Miller,2,Monett,1,False,False
2026-08-29,New Heights Christian,0,Monett,2,False,False
2026-08-29,Pierce City,1,Monett,1,False,False
2026-08-29,Christian Fellowship Sr.,0,Montgomery County,2,False,False
2026-08-29,Tarkio with Fairfax,0,Mound City,2,False,False
2026-08-29,St. Joseph Christian,0,Mound City,2,False,False
2026-08-29,Helias Catholic,2,Mt. Vernon,0,False,False
2026-08-29,Springfield Catholic,0,Mt. Vernon,2,False,False
2026-08-29,Licking,2,North County,1,False,False
2026-08-29,Poplar Bluff,0,Northwest (Cedar Hill),2,False,False
2026-08-29,Ste. Genevieve,2,Northwest (Cedar Hill),0,False,False
2026-08-29,Veritas Christian Academy,0,Northwest (Cedar Hill),2,False,False
2026-08-29,Villa Duchesne,0,Notre Dame (St. Louis),2,False,False
2026-08-29,Visitation Academy,1,Notre Dame (St. Louis),2,False,False
2026-08-29,Bishop LeBlond,1,Oak Grove,2,False,False
2026-08-29,Notre Dame de Sion,0,Oak Grove,2,False,False
2026-08-29,John Burroughs,1,Oakville,1,False,False
2026-08-29,Notre Dame (St. Louis),0,Oakville,2,False,False
2026-08-29,Holt,0,Oakville,2,False,False
2026-08-29,Rockwood Summit,1,Oakville,1,False,False
2026-08-29,Windsor (Imperial),1,Orchard Farm,1,False,False
2026-08-29,Lutheran South,0,Orchard Farm,2,False,False
2026-08-29,Pacific,2,Orchard Farm,1,False,False
2026-08-29,Stockton,1,Osceola,1,False,False
2026-08-29,Pleasant Hope,0,Osceola,2,False,False
2026-08-29,North County,0,Owensville,2,False,False
2026-08-29,Licking,0,Owensville,2,False,False
2026-08-29,Notre Dame (Cape Girardeau),1,Pacific,1,False,False
2026-08-29,Windsor (Imperial),1,Pacific,2,False,False
2026-08-29,Branson,2,Parkview,0,False,False
2026-08-29,Summit Christian Academy,2,Parkview,0,False,False
2026-08-29,Rolla,2,Parkview,0,False,False
2026-08-29,Holt,0,Parkway Central,2,False,False
2026-08-29,Orchard Farm,1,Parkway West,2,False,False
2026-08-29,Pacific,1,Parkway West,1,False,False
2026-08-29,West Platte,2,Penney,0,False,False
2026-08-29,Sarcoxie,2,Pierce City,0,False,False
2026-08-29,New Heights Christian,1,Pierce City,1,False,False
2026-08-29,Laquey,0,Plato,2,False,False
2026-08-29,West Platte,2,Plattsburg,0,False,False
2026-08-29,Stockton,2,Pleasant Hope,0,False,False
2026-08-29,Veritas Christian Academy,0,Poplar Bluff,2,False,False
2026-08-29,Central (Cape Girardeau),2,Poplar Bluff,1,False,False
2026-08-29,Seckman,0,Raymore-Peculiar,2,False,False
2026-08-29,Lebanon,1,Reeds Spring,1,False,False
2026-08-29,Springfield Catholic,2,Reeds Spring,0,False,False
2026-08-29,Mt. Vernon,1,Reeds Spring,1,False,False
2026-08-29,Rolla,2,Reeds Spring,1,False,False
2026-08-29,Helias Catholic,2,Republic,0,False,False
2026-08-29,STEAM Academy,2,Ritenour,0,False,False
2026-08-29,Gateway Science Charter,0,Ritenour,2,False,False
2026-08-29,Lift for Life Academy Charter,0,Ritenour,2,False,False
2026-08-29,North Point,1,Rock Bridge,2,False,False
2026-08-29,Saxony Lutheran,2,Rock Port,0,False,False
2026-08-29,John Burroughs,0,Rockwood Summit,2,False,False
2026-08-29,Notre Dame (St. Louis),0,Rockwood Summit,2,False,False
2026-08-29,Branson,2,Rolla,0,False,False
2026-08-29,Lebanon,2,Rolla,0,False,False
2026-08-29,New Heights Christian,1,Sarcoxie,1,False,False
2026-08-29,St. Pius X (Kansas City),2,Savannah,0,False,False
2026-08-29,St. Pius X (Kansas City),2,Seckman,0,False,False
2026-08-29,Winona,2,Seneca,0,False,False
2026-08-29,Miller,2,Seneca,0,False,False
2026-08-29,Marionville,2,Seneca,0,False,False
2026-08-29,Crane,2,Seneca,0,False,False
2026-08-29,West Nodaway with Nodaway-Holt,2,South Holt with Craig,0,False,False
2026-08-29,St. Joseph Christian,2,South Holt with Craig,0,False,False
2026-08-29,Tarkio with Fairfax,1,South Holt with Craig,2,False,False
2026-08-29,Nerinx Hall,2,St. Charles West,1,False,False
2026-08-29,Bourbon,2,St. James,0,False,False
2026-08-29,Plato,,St. James,0,False,False
2026-08-29,Warrenton,1,Ste. Genevieve,1,False,False
2026-08-29,Helias Catholic,1,Strafford,1,False,False
2026-08-29,Summit Christian Academy,1,Strafford,1,False,False
2026-08-29,Liberty (Mountain View),0,Sullivan,2,False,False
2026-08-29,Benton,0,Sullivan,2,False,False
2026-08-29,Father Tolton,2,Tipton,0,False,False
2026-08-29,MICDS,2,Webster Groves,0,False,False
2026-08-29,North Point,2,Webster Groves,0,False,False
2026-08-29,St. Joseph Christian,2,West Nodaway with Nodaway-Holt,0,False,False
2026-08-29,Warrenton,,Central (Cape Girardeau),,False,False
2026-08-29,St. Pius X (Festus),,Duchesne,,False,False
2026-08-29,Lutheran North,,Ladue Horton Watkins,,False,False
2026-08-29,St. Pius X (Festus),,St. Joseph's Academy,,False,False
2026-08-31,Crystal City,3,Bayless,0,False,False
2026-08-31,Meadow Heights,1,Bell City,3,False,False
2026-08-31,East Newton,0,Billings,3,False,False
2026-08-31,Duchesne,3,Bowling Green,0,False,False
2026-08-31,Verona,3,Bronaugh,0,False,False
2026-08-31,Calvary Lutheran,3,Bunceton,0,False,False
2026-08-31,Marshfield,3,Cabool,0,False,False
2026-08-31,Webb City,1,Carl Junction,3,False,False
2026-08-31,Lexington,1,Carrollton,3,False,False
2026-08-31,Caruthersville,0,Central (New Madrid County),3,False,False
2026-08-31,Miller,3,Central (Springfield),1,False,False
2026-08-31,Tipton,3,Centralia,1,False,False
2026-08-31,Gloria Deo Academy,1,Chadwick,2,False,False
2026-08-31,Puxico,3,Clarkton,0,False,False
2026-08-31,Logan-Rogersville,1,Clever,3,False,False
